person_id,site_id,first_name,last_name,role,email,phone,start_date,is_active
1,1,Nikau,Gray,PRINCIPAL,nikau.gray@tekuraotekao.school.nz,023-698-4651,2020-03-29,True
2,1,Ruby,Kumar,SITE_MANAGER,ruby.kumar@tekuraotekao.school.nz,022-993-8714,2020-01-18,True
3,1,Aria,Roberts,HS_REP,aria.roberts@tekuraotekao.school.nz,023-461-7098,2022-01-03,True
4,1,Nathan,Henare,CARETAKER,nathan.henare@tekuraotekao.school.nz,028-436-4702,2021-02-05,True
5,2,Grace,Johnston,PRINCIPAL,grace.johnston@taipaareaschool.school.nz,025-743-4703,2020-01-20,True
6,2,Scott,Russell,SITE_MANAGER,scott.russell@taipaareaschool.school.nz,021-909-5891,2021-06-07,True
7,2,Amelia,Jones,HS_REP,amelia.jones@taipaareaschool.school.nz,028-262-7672,2022-04-25,True
8,2,Jessica,Mitchell,CARETAKER,jessica.mitchell@taipaareaschool.school.nz,026-591-9919,2020-07-22,True
9,3,Rachel,Palmer,PRINCIPAL,rachel.palmer@kaitaiacollege.school.nz,028-970-3489,2021-12-15,True
10,3,Holly,Robinson,SITE_MANAGER,holly.robinson@kaitaiacollege.school.nz,027-689-3593,2020-12-10,True
11,3,Matiu,Tamati,HS_REP,matiu.tamati@kaitaiacollege.school.nz,027-627-5082,2022-04-14,True
12,4,Tia,Jones,PRINCIPAL,tia.jones@whangaroacolleg.school.nz,024-984-5980,2021-10-08,True
13,4,Ethan,Singh,SITE_MANAGER,ethan.singh@whangaroacolleg.school.nz,025-202-3646,2022-07-01,True
14,4,Georgia,Turner,HS_REP,georgia.turner@whangaroacolleg.school.nz,025-810-1480,2022-06-24,True
15,5,Kauri,Hamilton,PRINCIPAL,kauri.hamilton@kerikerihighsch.school.nz,028-250-9046,2021-07-02,True
16,5,Ben,Rewi,SITE_MANAGER,ben.rewi@kerikerihighsch.school.nz,026-632-3496,2020-05-10,True
17,5,Sam,Hill,HS_REP,sam.hill@kerikerihighsch.school.nz,024-969-3929,2020-03-31,True
18,6,Mason,Te Huia,PRINCIPAL,mason.te huia@broadwoodareasc.school.nz,027-733-3057,2022-05-01,True
19,6,Shane,Edwards,SITE_MANAGER,shane.edwards@broadwoodareasc.school.nz,026-285-4086,2020-11-16,True
20,6,James,Harawira,HS_REP,james.harawira@broadwoodareasc.school.nz,028-754-6929,2021-03-13,True
21,6,Ryan,Stewart,CARETAKER,ryan.stewart@broadwoodareasc.school.nz,022-994-2398,2020-08-21,True
22,7,Jack,Martin,PRINCIPAL,jack.martin@okaihaucollege.school.nz,024-930-4763,2022-06-03,True
23,7,Kylie,Gray,SITE_MANAGER,kylie.gray@okaihaucollege.school.nz,021-455-3837,2021-02-18,True
24,7,Emma,Te Huia,HS_REP,emma.te huia@okaihaucollege.school.nz,025-521-3024,2020-09-05,True
25,8,Aroha,Taylor,PRINCIPAL,aroha.taylor@bayofislandscol.school.nz,023-796-9677,2021-11-14,True
26,8,Kauri,Palmer,SITE_MANAGER,kauri.palmer@bayofislandscol.school.nz,022-708-1900,2020-02-22,True
27,8,Matthew,Stewart,HS_REP,matthew.stewart@bayofislandscol.school.nz,025-591-2407,2022-08-19,True
28,9,James,Gray,PRINCIPAL,james.gray@northlandcolleg.school.nz,021-278-8495,2022-02-03,True
29,9,Mark,Baker,SITE_MANAGER,mark.baker@northlandcolleg.school.nz,024-812-7451,2021-07-17,True
30,9,Tia,Campbell,HS_REP,tia.campbell@northlandcolleg.school.nz,024-583-8220,2021-07-07,True
31,9,Scott,Smith,CARETAKER,scott.smith@northlandcolleg.school.nz,028-398-8787,2021-11-15,True
32,10,Shane,Russell,PRINCIPAL,shane.russell@tekurataumataop.school.nz,021-671-3534,2020-05-01,True
33,10,Grant,Edwards,SITE_MANAGER,grant.edwards@tekurataumataop.school.nz,022-777-7358,2022-04-25,True
34,10,Jessica,Martin,HS_REP,jessica.martin@tekurataumataop.school.nz,026-732-4420,2020-11-21,True
35,11,Tia,Harris,PRINCIPAL,tia.harris@opononiareascho.school.nz,021-974-1888,2020-11-22,True
